grafo,nodo,grado,tipo,origen,destino,peso,distancia
B4C_directa_MST,x_3,1,nodo,,,,
B4C_directa_MST,x_9,1,nodo,,,,
B4C_directa_MST,x_10,1,nodo,,,,
B4C_directa_MST,x_11,2,nodo,,,,
B4C_directa_MST,x_12,1,nodo,,,,
B4C_directa_MST,x_20,1,nodo,,,,
B4C_directa_MST,x_21,2,nodo,,,,
B4C_directa_MST,x_22,1,nodo,,,,
B4C_directa_MST,x_24,2,nodo,,,,
B4C_directa_MST,x_27,1,nodo,,,,
B4C_directa_MST,x_30,1,nodo,,,,
B4C_directa_MST,x_38,1,nodo,,,,
B4C_directa_MST,x_39,2,nodo,,,,
B4C_directa_MST,target_y,1,nodo,,,,
B4C_directa_MST,,,arista,x_3,x_9,0.7161834643688317,0.28381653563116827
B4C_directa_MST,,,arista,x_10,x_11,0.8292900019124851,0.17070999808751486
B4C_directa_MST,,,arista,x_11,x_12,0.7691291087300147,0.23087089126998528
B4C_directa_MST,,,arista,x_20,x_21,0.7909602963438108,0.20903970365618918
B4C_directa_MST,,,arista,x_21,x_22,0.8184049182479406,0.1815950817520594
B4C_directa_MST,,,arista,x_24,x_30,0.821428945005915,0.178571054994085
B4C_directa_MST,,,arista,x_24,x_27,0.8359086406905899,0.1640913593094101
B4C_directa_MST,,,arista,x_38,x_39,0.7339520927134827,0.2660479072865173
B4C_directa_MST,,,arista,x_39,target_y,0.8087977250750147,0.19120227492498532
