grafo,nodo,grado,tipo,origen,destino,peso,distancia
W16C_directa_MST,x_10,1,nodo,,,,
W16C_directa_MST,x_11,3,nodo,,,,
W16C_directa_MST,x_12,1,nodo,,,,
W16C_directa_MST,x_15,1,nodo,,,,
W16C_directa_MST,x_18,1,nodo,,,,
W16C_directa_MST,x_20,1,nodo,,,,
W16C_directa_MST,x_21,3,nodo,,,,
W16C_directa_MST,x_22,1,nodo,,,,
W16C_directa_MST,x_24,2,nodo,,,,
W16C_directa_MST,x_27,1,nodo,,,,
W16C_directa_MST,x_30,1,nodo,,,,
W16C_directa_MST,x_32,1,nodo,,,,
W16C_directa_MST,x_33,1,nodo,,,,
W16C_directa_MST,x_38,1,nodo,,,,
W16C_directa_MST,x_39,2,nodo,,,,
W16C_directa_MST,target_y,3,nodo,,,,
W16C_directa_MST,,,arista,x_10,x_11,0.7883093975085561,0.2116906024914439
W16C_directa_MST,,,arista,x_11,target_y,0.708870206432287,0.29112979356771296
W16C_directa_MST,,,arista,x_11,x_12,0.7237757738653057,0.27622422613469433
W16C_directa_MST,,,arista,x_15,x_18,0.7033038442623967,0.29669615573760333
W16C_directa_MST,,,arista,x_20,x_21,0.8022449357133314,0.19775506428666856
W16C_directa_MST,,,arista,x_21,target_y,0.7043361528806233,0.29566384711937665
W16C_directa_MST,,,arista,x_21,x_22,0.807483297730365,0.19251670226963502
W16C_directa_MST,,,arista,x_24,x_30,0.7536187041631608,0.2463812958368392
W16C_directa_MST,,,arista,x_24,x_27,0.8059661639520163,0.19403383604798374
W16C_directa_MST,,,arista,x_32,x_33,0.7044466673788395,0.29555333262116046
W16C_directa_MST,,,arista,x_38,x_39,0.7259250686249207,0.2740749313750793
W16C_directa_MST,,,arista,x_39,target_y,0.7935727451800694,0.20642725481993063
