grafo,nodo,grado,tipo,origen,destino,peso,distancia
W8C_directa_MST,x_10,1,nodo,,,,
W8C_directa_MST,x_11,2,nodo,,,,
W8C_directa_MST,x_12,1,nodo,,,,
W8C_directa_MST,x_20,1,nodo,,,,
W8C_directa_MST,x_21,3,nodo,,,,
W8C_directa_MST,x_22,1,nodo,,,,
W8C_directa_MST,x_24,3,nodo,,,,
W8C_directa_MST,x_27,1,nodo,,,,
W8C_directa_MST,x_30,1,nodo,,,,
W8C_directa_MST,x_32,1,nodo,,,,
W8C_directa_MST,x_33,1,nodo,,,,
W8C_directa_MST,x_38,1,nodo,,,,
W8C_directa_MST,x_39,3,nodo,,,,
W8C_directa_MST,target_y,2,nodo,,,,
W8C_directa_MST,,,arista,x_10,x_11,0.8076041532071633,0.19239584679283672
W8C_directa_MST,,,arista,x_11,x_12,0.7474133334446362,0.25258666655536377
W8C_directa_MST,,,arista,x_20,x_21,0.7425296468520399,0.2574703531479601
W8C_directa_MST,,,arista,x_21,target_y,0.7193647435252778,0.2806352564747222
W8C_directa_MST,,,arista,x_21,x_22,0.8385480951071537,0.16145190489284633
W8C_directa_MST,,,arista,x_24,x_39,0.7092792642046337,0.2907207357953663
W8C_directa_MST,,,arista,x_24,x_27,0.8145120595201089,0.18548794047989114
W8C_directa_MST,,,arista,x_24,x_30,0.841250035912672,0.158749964087328
W8C_directa_MST,,,arista,x_32,x_33,0.706945651496742,0.29305434850325796
W8C_directa_MST,,,arista,x_38,x_39,0.7655547310446693,0.2344452689553307
W8C_directa_MST,,,arista,x_39,target_y,0.8140546269172596,0.1859453730827404
