grafo,nodo,grado,tipo,origen,destino,peso,distancia
B8C_directa_MST,x_3,1,nodo,,,,
B8C_directa_MST,x_9,1,nodo,,,,
B8C_directa_MST,x_10,1,nodo,,,,
B8C_directa_MST,x_11,3,nodo,,,,
B8C_directa_MST,x_12,1,nodo,,,,
B8C_directa_MST,x_20,1,nodo,,,,
B8C_directa_MST,x_21,2,nodo,,,,
B8C_directa_MST,x_22,1,nodo,,,,
B8C_directa_MST,x_24,2,nodo,,,,
B8C_directa_MST,x_27,1,nodo,,,,
B8C_directa_MST,x_30,1,nodo,,,,
B8C_directa_MST,x_39,1,nodo,,,,
B8C_directa_MST,target_y,2,nodo,,,,
B8C_directa_MST,,,arista,x_3,x_9,0.7854037212932455,0.21459627870675446
B8C_directa_MST,,,arista,x_10,x_11,0.7869982662667435,0.21300173373325648
B8C_directa_MST,,,arista,x_11,target_y,0.7062004801981167,0.29379951980188335
B8C_directa_MST,,,arista,x_11,x_12,0.7598921012830857,0.2401078987169143
B8C_directa_MST,,,arista,x_20,x_21,0.749958568344954,0.250041431655046
B8C_directa_MST,,,arista,x_21,x_22,0.7917105915477113,0.20828940845228872
B8C_directa_MST,,,arista,x_24,x_30,0.7977106967325847,0.20228930326741534
B8C_directa_MST,,,arista,x_24,x_27,0.830031621656091,0.169968378343909
B8C_directa_MST,,,arista,x_39,target_y,0.7499588477279331,0.2500411522720669
