grafo,nodo,grado,tipo,origen,destino,peso,distancia
W4C_directa_MST,x_10,1,nodo,,,,
W4C_directa_MST,x_11,3,nodo,,,,
W4C_directa_MST,x_12,1,nodo,,,,
W4C_directa_MST,x_20,1,nodo,,,,
W4C_directa_MST,x_21,3,nodo,,,,
W4C_directa_MST,x_22,1,nodo,,,,
W4C_directa_MST,x_24,2,nodo,,,,
W4C_directa_MST,x_27,1,nodo,,,,
W4C_directa_MST,x_30,1,nodo,,,,
W4C_directa_MST,x_38,1,nodo,,,,
W4C_directa_MST,x_39,2,nodo,,,,
W4C_directa_MST,target_y,3,nodo,,,,
W4C_directa_MST,,,arista,x_10,x_11,0.8322079007290384,0.16779209927096161
W4C_directa_MST,,,arista,x_11,target_y,0.7144199677169711,0.28558003228302886
W4C_directa_MST,,,arista,x_11,x_12,0.7642068326480083,0.23579316735199174
W4C_directa_MST,,,arista,x_20,x_21,0.7882086476308603,0.2117913523691397
W4C_directa_MST,,,arista,x_21,target_y,0.7359131982089093,0.2640868017910907
W4C_directa_MST,,,arista,x_21,x_22,0.8543591672352073,0.14564083276479267
W4C_directa_MST,,,arista,x_24,x_27,0.8141885420098576,0.18581145799014243
W4C_directa_MST,,,arista,x_24,x_30,0.839563304933393,0.16043669506660696
W4C_directa_MST,,,arista,x_38,x_39,0.7449671986158707,0.2550328013841293
W4C_directa_MST,,,arista,x_39,target_y,0.846442450654955,0.15355754934504495
