grafo,nodo,grado,tipo,origen,destino,peso,distancia
B16C_directa_MST,x_3,1,nodo,,,,
B16C_directa_MST,x_9,1,nodo,,,,
B16C_directa_MST,x_10,1,nodo,,,,
B16C_directa_MST,x_11,2,nodo,,,,
B16C_directa_MST,x_12,1,nodo,,,,
B16C_directa_MST,x_20,1,nodo,,,,
B16C_directa_MST,x_21,3,nodo,,,,
B16C_directa_MST,x_22,1,nodo,,,,
B16C_directa_MST,x_24,2,nodo,,,,
B16C_directa_MST,x_27,1,nodo,,,,
B16C_directa_MST,x_30,1,nodo,,,,
B16C_directa_MST,x_39,1,nodo,,,,
B16C_directa_MST,target_y,2,nodo,,,,
B16C_directa_MST,,,arista,x_3,x_9,0.7962225909811399,0.2037774090188601
B16C_directa_MST,,,arista,x_10,x_11,0.809750252760158,0.190249747239842
B16C_directa_MST,,,arista,x_11,x_12,0.7729523962224797,0.2270476037775203
B16C_directa_MST,,,arista,x_20,x_21,0.7363551302890424,0.2636448697109576
B16C_directa_MST,,,arista,x_21,target_y,0.7745508811732492,0.22544911882675078
B16C_directa_MST,,,arista,x_21,x_22,0.8342189644673407,0.16578103553265933
B16C_directa_MST,,,arista,x_24,x_30,0.8259035568414529,0.1740964431585471
B16C_directa_MST,,,arista,x_24,x_27,0.8507110239765417,0.14928897602345825
B16C_directa_MST,,,arista,x_39,target_y,0.7621330774543156,0.23786692254568442
